period,Palm oil,Sunflower oil,Maize,Wheat,date_popup
2010-01-01,830.88,968,167.314,201.19093202368,2010-01-01
2010-02-01,830,948,161.80248,194,2010-02-01
2010-03-01,862.83,949,159.04672,191.07507175435,2010-03-01
2010-04-01,862.71,924,157.07832,192.87,2010-04-01
2010-05-01,855.31,910,163.3772,181.605588975,2010-05-01
2010-06-01,825.68,889,152.74784,157.67209847046,2010-06-01
2010-07-01,844.43,937,163.75682,195.81769059129,2010-07-01
2010-08-01,943.73,1074,175.58128,246.24722445586,2010-08-01
2010-09-01,948.88,1114,205.89464,271.67359754743,2010-09-01
2010-10-01,1025.83,1284,235.81432,270.23219586429,2010-10-01
2010-11-01,1131.36,1441,238.1764,274.08076079559,2010-11-01
2010-12-01,1234.64,1454,250.38048,306.5201043804,2010-12-01
2011-01-01,1303.57,1492,264.94664,326.55656760729,2011-01-01
2011-02-01,1327.21,1704.74,292.89792,348.1203485495,2011-02-01
2011-03-01,1241.74,1636.96,290.53584,316.74657066378,2011-03-01
2011-04-01,1219.61,1634.05,319.27448,336.12429558105,2011-04-01
2011-05-01,1230.12,1644.09,307.85776,355.27788556364,2011-05-01
2011-06-01,1192.38,1699.32,310.61352,326.42992919659,2011-06-01
2011-07-01,1183.45,1672.38,300.77152,303.88392977625,2011-07-01
2011-08-01,1205.48,1671.3,310.21984,327.06658952609,2011-08-01
2011-09-01,1137.25,1591.59,295.26,315.91622907614,2011-09-01
2011-10-01,1044.75,1483.81,274.78864,289.01083578214,2011-10-01
2011-11-01,1113.38,1502.5,274.39496,281.0064022425,2011-11-01
2011-12-01,1121.5,1439.77,258.64776,269.0300071375,2011-12-01
2012-01-01,1123.5,1451.82,272.844845,274.89317414625,2012-01-01
2012-02-01,1146.25,1485,279.458669,277.7729592825,2012-02-01
2012-03-01,1195.34,1500.68,280.69384,283.87825408636,2012-03-01
2012-04-01,1233.61,1551.9,274.00128,266.32392179211,2012-04-01
2012-05-01,1125,1522.17,269.27712,264.35872401848,2012-05-01
2012-06-01,1027.74,1430.48,267.30872,276.1899195,2012-06-01
2012-07-01,1052.84,1472.27,333.05328,345.68794675714,2012-07-01
2012-08-01,1022.38,1525.43,331.99205565217,349.40035068261,2012-08-01
2012-09-01,1001.38,1572.25,320.8492,353.42092377237,2012-09-01
2012-10-01,886,1302.61,321.24288,358.195666995,2012-10-01
2012-11-01,863.18,1285.23,321.63656,360.8228394,2012-11-01
2012-12-01,843.55,1271.9,308.64512,347.9625549,2012-12-01
2013-01-01,884.52,1298.48,303.1336,335.4697071,2013-01-01
2013-02-01,919.58,1285.75,302.73992,318.9350556,2013-02-01
2013-03-01,891.5,1249.76,309.0388,309.7491381,2013-03-01
2013-04-01,874.17,1221.14,279.90648,308.2793913,2013-04-01
2013-05-01,879.47,1227.73,295.5375444,319.669929,2013-05-01
2013-06-01,876.88,1245.25,298.40944,313.4235051,2013-06-01
2013-07-01,827.09,1210.87,279.5128,304.6050243,2013-07-01
2013-08-01,819.29,1111.67,238.73560454546,305.3398977,2013-08-01
2013-09-01,826.25,1005.71,207.405387,307.50777423,2013-09-01
2013-10-01,859.66,1008.48,201.72521090909,325.6867049625,2013-10-01
2013-11-01,904.05,1004.05,199.13474,306.75162817895,2013-11-01
2013-12-01,886.25,996,197.391152,291.55664720357,2013-12-01
2014-01-01,862.63,951.82,198.0643448,275.577525,2014-01-01
2014-02-01,904.34,953,209.3235928,292.1121765,2014-02-01
2014-03-01,953.81,984.76,222.33078,323.7117327,2014-03-01
2014-04-01,926.63,952.25,222.3583376,324.8140428,2014-04-01
2014-05-01,898.42,951.5,217.2956128,334.7348337,2014-05-01
2014-06-01,861.88,942.38,202.3948248,306.4422078,2014-06-01
2014-07-01,853.69,908.04,182.726572,280.3542021,2014-07-01
2014-08-01,778.69,853.75,176.4237552,263.4521139,2014-08-01
2014-09-01,760.75,834.09,163.0583192,243.6105321,2014-09-01
2014-10-01,764.4,888.26,163.121308,245.4477156,2014-10-01
2014-11-01,764.75,922.75,178.7425304,258.6754368,2014-11-01
2014-12-01,719.64,900.95,178.7346568,269.6985378,2014-12-01
2015-01-01,719.64,870.71,174.7073104,248.3872092,2015-01-01
2015-02-01,723.04,825,173.6955528,236.9966715,2015-02-01
2015-03-01,698.86,804.55,174.2270208,230.7502476,2015-03-01
2015-04-01,682.75,833.5,172.0539072,223.4015136,2015-04-01
2015-05-01,697.35,916.05,166.2943688,215.3179062,2015-05-01
2015-06-01,705.91,927.95,166.7195432,209.8063557,2015-06-01
2015-07-01,680,917.39,179.596816,197.3135079,2015-07-01
2015-08-01,601.38,894.75,162.5937768,179.6765463,2015-08-01
2015-09-01,599.5,896.82,165.621176,172.695249,2015-09-01
2015-10-01,636.67,961.59,171.388588,172.709946468,2015-10-01
2015-11-01,608.21,915.24,166.1565808,177.1044894,2015-11-01
2015-12-01,607.38,898.18,163.948036,189.2299005,2015-12-01
2016-01-01,611.63,885.35,161.0269304,193.2717042,2016-01-01
2016-02-01,679.17,898.19,159.676608,187.0252803,2016-02-01
2016-03-01,715.95,859.19,159.1372664,191.067084,2016-03-01
2016-04-01,775,875.95,164.4125784,187.392717,2016-04-01
2016-05-01,753.42,881,168.9556456,171.9603756,2016-05-01
2016-06-01,718.18,860.23,179.872392,173.0626857,2016-06-01
2016-07-01,678.16,832.86,161.7591752,151.7513571,2016-07-01
2016-08-01,771.02,830.35,150.1534888,149.1793002,2016-08-01
2016-09-01,797.85,865.73,148.4252336,150.649047,2016-09-01
2016-10-01,749.75,873,152.2596768,151.7513571,2016-10-01
2016-11-01,766.93,873,151.803008,150.649047,2016-11-01
2016-12-01,811.38,873,152.4486432,141.8305662,2016-12-01
2017-01-01,825,873,159.9876152,153.2211039,2017-01-01
2017-02-01,808.61,873,162.8575424,155.0582874,2017-02-01
2017-03-01,778.7,835.17,158.9640472,154.323414,2017-03-01
2017-04-01,752.06,797.67,156.4405584,166.0813884,2017-04-01
2017-05-01,762.75,795,158.5900512,180.4114197,2017-05-01
2017-06-01,735.14,794.36,157.9326056,189.5973372,2017-06-01
2017-07-01,720.48,793,157.511368,202.4576217,2017-07-01
2017-08-01,717.95,815.74,148.496096,171.2255022,2017-08-01
2017-09-01,754.25,822.24,147.2914352,178.5742362,2017-09-01
2017-10-01,746.79,804.82,148.6220736,175.6347426,2017-10-01
2017-11-01,728.86,809.86,148.7047464,179.6765463,2017-11-01
2017-12-01,679.17,800.76,148.9803224,184.0857867,2017-12-01
2018-01-01,703.45,799.04,155.838228,192.1693941,2018-01-01
2018-02-01,709.44,806,163.357516,192.1693941,2018-02-01
2018-03-01,706.19,800.91,171.998792,192.1693941,2018-03-01
2018-04-01,701.18,799.33,175.6049008,213.8481594,2018-04-01
2018-05-01,687.15,801.32,179.085032,213.8481594,2018-05-01
2018-06-01,656.5,775,165.070024,219.3597099,2018-06-01
2018-07-01,616.14,780.05,156.4602424,218.2573998,2018-07-01
2018-08-01,614.75,763.23,162.373316,236.6292348,2018-08-01
2018-09-01,605.15,733.95,154.8028496,212.3784126,2018-09-01
2018-10-01,589.8,718.04,160.2553176,213.4807227,2018-10-01
2018-11-01,539.1,706.09,160.6883656,203.5599318,2018-11-01
2018-12-01,535.02,703,167.4399776,211.2761025,2018-12-01
2019-01-01,584.58,688.13,166.743164,209.8063557,2019-01-01
2019-02-01,602.97,700,169.5225448,218.9922732,2019-02-01
2019-03-01,573.02,711.71,166.2235064,205.764552,2019-03-01
2019-04-01,588.45,713,161.487536,199.5181281,2019-04-01
2019-05-01,564.4,721.57,171.0815176,199.5181281,2019-05-01
2019-06-01,552.19,725,195.0802504,206.1319887,2019-06-01
2019-07-01,543.88,753.83,189.419132,196.2111978,2019-07-01
2019-08-01,586.12,776,163.5858504,181.1462931,2019-08-01
2019-09-01,580.3,776,157.2594128,189.5973372,2019-09-01
2019-10-01,591.35,776,167.1486544,199.5181281,2019-10-01
2019-11-01,685.41,776,166.3337368,203.1924951,2019-11-01
2019-12-01,763.73,776,166.9557512,210.9086658,2019-12-01
2020-01-01,810.07,806.91,171.7862048,224.5038237,2020-01-01
2020-02-01,728.81,823,168.711564,215.3179062,2020-02-01
2020-03-01,636.25,730,162.4205576,209.0714823,2020-03-01
2020-04-01,608.88,732.1,146.9095656,218.9922732,2020-04-01
2020-05-01,576.56,738.26,143.9057872,205.764552,2020-05-01
2020-06-01,656.49,788.36,147.9882488,198.415818,2020-06-01
2020-07-01,694.16,833.17,152.5549368,222.13,2020-07-01
2020-08-01,760.3,877.14,149.342508,223,2020-08-01
2020-09-01,796.22,982.38482384824,166.0817816,247.68,2020-09-01
2020-10-01,819.27,981.40243902439,186.7460448,272.36,2020-10-01
2020-11-01,917.81,1109.11246612466,190.3757744,273,2020-11-01
2020-12-01,1016.37389145497,1170.02032520325,198.769032,268.55,2020-12-01
2021-01-01,990.27,1276.11788617886,234.4679501472,289.3,2021-01-01
2021-02-01,1019.86,1362.56775067751,245.2350824,289.4,2021-02-01
2021-03-01,1030.48,1611.11111111111,245.1720936,273.13,2021-03-01
2021-04-01,1078.05,1572.79810298103,268.233868,280.95,2021-04-01
2021-05-01,1136.46,1584.58672086721,305.3106504,297.25,2021-05-01
2021-06-01,1004.42,1296.74796747967,292.5593552,285.55,2021-06-01
2021-07-01,1062.99,1282.01219512195,278.4341168,294.27,2021-07-01
2021-08-01,1141.82,1355.69105691057,256.6124344,324.52,2021-08-01
2021-09-01,1181.38,1309.5189701897,235.61748,337.55,2021-09-01
2021-10-01,1310.25,1420.52845528455,239.6487632,354.67,2021-10-01
2021-11-01,1340.65,1415.61653116531,248.7191504,379.45,2021-11-01
2021-12-01,1270.29,1361.83096205962,264.5372128,376.81,2021-12-01
2022-01-01,1344.79,1411.73,276.6231888,374.24,2022-01-01
2022-02-01,1522.36,1499.12,292.622344,390.5,2022-02-01
2022-03-01,1776.96,2361.13,335.5295272,486.3,2022-03-01
2022-04-01,1682.74,2275.76,348.1666552,495.28,2022-04-01
2022-05-01,1716.92,2079.3,344.8400592,522.29,2022-05-01
2022-06-01,1501.1,1884.59,335.7145568,459.59,2022-06-01
2022-07-01,1056.64,1556.87,322.9671984,382.5,2022-07-01
2022-08-01,1025.95,1496.22,289.8350896,382.86,2022-08-01
2022-09-01,909.32,1304.75,312.6567192,419.14,2022-09-01
2022-10-01,888.99,1359.15,343.5566624,437.95,2022-10-01
2022-11-01,945.74,1347.28,320.9200624,422.68,2022-11-01
2022-12-01,940.39,1233.8,302.24782,386.33,2022-12-01
2023-01-01,941.97,1218.34,302.7753512,380.36,2023-01-01
2023-02-01,949.98,1158.6,298.1771688,394.75,2023-02-01
2023-03-01,972.06,1075.05,282.4890208,369.86,2023-03-01
2023-04-01,1005.24,1034.83,291.1145496,378.18,2023-04-01
2023-05-01,934.06,961.79,268.135448,367.74,2023-05-01
2023-06-01,816.97,910.95,266.8677984,345.5,2023-06-01
2023-07-01,878.5,1038.8,242.3848392,345.5,2023-07-01
2023-08-01,860.82,989.42,207.607148,315.82,2023-08-01
2023-09-01,829.6,894.81,223.80708,314.68,2023-09-01
2023-10-01,804.26,910.17,230.69648,298.1,2023-10-01
2023-11-01,830.47,943.6,211.2604984,283.55,2023-11-01
2023-12-01,813.51,944.03,206.54803944445,291.12,2023-12-01
2024-01-01,844.9,943.36,198.62480884615,283.91,2024-01-01
2024-02-01,856.93,925.08,189.128793,278.5,2024-02-01
2024-03-01,942.92,950.93,190.56700446,274.83,2024-03-01
2024-04-01,935.69,971.27,191.65107888889,272.3,2024-04-01
2024-05-01,859.15,1005.73,197.79344375,289.42,2024-05-01
2024-06-01,873.67,1043.05,192.506708,265.55,2024-06-01
2024-07-01,896.09,1068.51,177.42921392,260.26,2024-07-01
2024-08-01,932.63,1048.56,170.32475727273,250.85,2024-08-01
2024-09-01,982.83,1068,184.9671542069,269.69,2024-09-01
2024-10-01,1077.25,1205.71,190.33572173913,272.85,2024-10-01
2024-11-01,1168.58791,1267,201.33106,253.75,2024-11-01
2024-12-01,1189.73208472222,1222.5,202.59757,252.17,2024-12-01
